Ticker,Address,Balance,Date
NEO,AHS6NVhPVz5J4LvwPKv6vhqUyBaSuMq4QG,0.0,2021-02-11 11:36:57
NEO,ALr3v1UKJrvJreV1ozRHFbXQxaaZ97Ekrj,68.0,2021-02-11 11:36:57
FTC,3JtNG9SDty5sQK3uKq5HTNcYNf5SziMo9H,0,2021-02-11 11:36:57
FTC,6q2GzcFqAVXxAWXqSZVDMhszbRzbapd17r,7007.38140974,2021-02-11 11:36:57
DASH,XeBZPEDeSt5fZ288GVzQ831uhq47QydbxC,689.58915293,2021-02-11 11:36:57
DASH,XoFiVXcNNDWRcAHkR5d4BDyuBz4MuZB7EB,658.75083767,2021-02-11 11:36:57
DGB,dgb1qg42tkwuuxefutzxezdkdel39gfstuap25q94er,876.22518187,2021-02-11 11:36:57
DGB,DHUZPo9EnYJVmMKPsuzvrStVo6KYmemmUq,0,2021-02-11 11:36:57
ETC,0xB09991c60c991C0FCcDe4B50B1100b05b8988E2D,2811264583000000000,2021-02-11 11:36:57
ETC,0xCfb597D33389A16b6D4AefbaD4bA1cE4B8648f4f,5751026584618063063,2021-02-11 11:36:57
EWT,0x626eDb68ec25063c055F1Bd41589ec07ef282a8b,49999975877518424,2021-02-11 11:36:57
EWT,0x8d544875b9c805205110C3288F402886349B5aEA,0,2021-02-11 11:36:57
ONT,AFmseVrdL9f9oyCzZefL9tG6UbviEH9ugK,199612372,2021-02-11 11:36:57
ONT,AG6JVMf1VHPsFjwpaXnhz8vRLpWmeqkALK,0,2021-02-11 11:36:57
